z,Omega_th,Omega_th_low,Omega_th_up
0.06803198112326103,1.9300289360856652e-08,1.4050072429299837e-08,2.4525791667913775e-08
0.10503026810637173,1.1317912435066351e-08,6.566929546641804e-09,1.6058409750908077e-08
0.14331023322635317,1.1669217506021195e-08,7.73299199537184e-09,1.564443274055838e-08
0.18291627580491698,1.4850723665753923e-08,1.1048890460485071e-08,1.8705921438926276e-08
0.22389433322525143,1.588208383759951e-08,1.2580161171976066e-08,1.908374133604886e-08
0.26629193421286157,5.308378380438163e-09,2.2225162413231156e-09,8.845836285119869e-09
0.3101582539621375,1.0756394813949508e-08,6.8385425324797396e-09,1.463837752479696e-08
0.35554417117259574,6.038918859478654e-09,3.125247736210972e-09,9.051590821142928e-09
0.40250232706094313,1.4721048583039412e-08,1.2400985185325688e-08,1.6990092543568642e-08
0.45108718641740886,1.0207418036109371e-08,8.281612485489378e-09,1.2147120493275321e-08
0.5013551007771659,8.7931317582789e-09,6.776976427299157e-09,1.081232328265403e-08
0.553364373780106,1.2002198473608248e-08,1.0189590162262431e-08,1.3864497643112171e-08
0.6071753287947794,5.8744932952045e-09,3.877341010554477e-09,7.880624192382418e-09
0.6628503788849336,8.941124156499268e-09,6.592694125192987e-09,1.1422661734525146e-08
0.7204540991998019,9.70425748601775e-09,7.202917734186202e-09,1.2385211948068003e-08
0.8233714709600575,7.003358264085052e-09,3.994385841883819e-09,1.0308594903443882e-08
0.9794720268946635,2.401321973935454e-09,7.364987448497037e-10,4.948644171674584e-09
1.1489364990422741,nan,nan,1.189949249227355e-08
1.332908984907725,nan,nan,4.713374437364814e-09
1.5326315292651778,nan,nan,2.877122300378725e-09
1.7494525095164728,nan,nan,3.254613363972402e-09
1.9848357389279423,nan,nan,4.108169433626605e-09
2.2403703492039293,nan,nan,1.302473643102629e-09
2.517781519116782,nan,nan,1.4198223497014822e-09
2.818942121624993,nan,nan,2.087970428607166e-09
3.1458853681121495,nan,nan,2.4282019173486804e-09
